"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Sep 10 15:17:52 UTC 2021","Fri Sep 10 15:17:54 UTC 2021","2000","","centos8-container","","","","QA 080","PCP QA Test No. 080

exercise new options to pmval: -r -z -Z -S -p



Copyright (c) 1995-2002 Silicon Graphics, Inc.  All Rights Reserved.



"
"passed","Fri Sep 10 15:23:53 UTC 2021","Fri Sep 10 15:23:53 UTC 2021","0","","debian11-container","","","","QA 407","PCP QA Test No. 407

Derived metrics and PM_TYPE_EVENT



Copyright (c) 2010 Ken McDonell.  All Rights Reserved.



"
"passed","Fri Sep 10 15:19:12 UTC 2021","Fri Sep 10 15:19:18 UTC 2021","6000","","ubuntu1804-container","","","","QA 707","PCP QA Test No. 707

Exercise python PMAPI layer - basic archive tests



Copyright (c) 2012-2014 Red Hat.



"
"passed","Fri Sep 10 15:20:53 UTC 2021","Fri Sep 10 15:20:53 UTC 2021","0","","centos7-container","","","","QA 978","PCP QA Test No. 978

Exercise pmgetopt(1) functionality.



Copyright (c) 2014 Red Hat.



"
"passed","Fri Sep 10 15:21:56 UTC 2021","Fri Sep 10 15:21:56 UTC 2021","0","","debian11-container","","","","QA 026","PCP QA Test No. 026

Text Services (Help and Oneline) for PMIDs and pmInDoms



Copyright (c) 1995-2002 Silicon Graphics, Inc.  All Rights Reserved.



"
"passed","Fri Sep 10 15:30:25 UTC 2021","Fri Sep 10 15:30:31 UTC 2021","6000","","fedora-rawhide-container","","","","QA 707","PCP QA Test No. 707

Exercise python PMAPI layer - basic archive tests



Copyright (c) 2012-2014 Red Hat.



"
"passed","Fri Sep 10 15:20:34 UTC 2021","Fri Sep 10 15:20:35 UTC 2021","1000","","centos8-container","","","","QA 1229","PCP QA Test No. 1229

Test support for labels and help text in pmlogextract.

Specifically: test successful consistency checking of help text by extracting

the same archive twice.



Copyright (c) 2018 Red Hat.  All Rights Reserved.



"
"passed","Fri Sep 10 15:29:04 UTC 2021","Fri Sep 10 15:29:04 UTC 2021","0","","fedora33-container","","","","QA 1315","PCP QA Test No. 1315

Check for absence of <mark> records in archives created in tmparch



Copyright (c) 2021 Ken McDonell.  All Rights Reserved.



"
"passed","Fri Sep 10 15:19:50 UTC 2021","Fri Sep 10 15:19:51 UTC 2021","1000","","centos8-container","","","","QA 435","PCP QA Test No. 435

Exercise compressed archive files - gzip version



Copyright (c) 2014 Red Hat.

Copyright (c) 2010 Ken McDonell.  All Rights Reserved.



"
"passed","Fri Sep 10 15:20:16 UTC 2021","Fri Sep 10 15:20:16 UTC 2021","0","","centos8-container","","","","QA 1044","PCP QA Test No. 1044 (formerly 525)

exercises pmieconf cmd line



Copyright (c) 1995-2002 Silicon Graphics, Inc.  All Rights Reserved.



"
"passed","Fri Sep 10 15:23:52 UTC 2021","Fri Sep 10 15:23:52 UTC 2021","0","","debian11-container","","","","QA 401","PCP QA Test No. 401

quick pminfo -x check (400 does a better job, but you need to have

valgrind available)



Copyright (c) 2010 Ken McDonell.  All Rights Reserved.



"
"passed","Fri Sep 10 15:21:58 UTC 2021","Fri Sep 10 15:21:58 UTC 2021","0","","ubuntu2004-container","","","","QA 569","PCP QA Test No. 569

exercise pmprobe, and pv 679693 in particular



Copyright (c) 1995-2002 Silicon Graphics, Inc.  All Rights Reserved.



"
