"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Mar 22 18:42:31 UTC 2022","Tue Mar 22 18:42:31 UTC 2022","0","","fedora35-container","","","","QA 471","PCP QA Test No. 471

test fix for #621699 pcp scripts should check the user has root access



Copyright (c) 1995-2002 Silicon Graphics, Inc.  All Rights Reserved.



"
"passed","Tue Mar 22 19:42:30 UTC 2022","Tue Mar 22 19:42:31 UTC 2022","1000","","fedora35-container","","","","QA 1331","PCP QA Test No. 1331

Exercise pkg-config support for core PCP libraries.



Copyright (c) 2017 Red Hat.



"
"passed","Tue Mar 22 18:14:37 UTC 2022","Tue Mar 22 18:14:48 UTC 2022","11000","","fedora35-container","","","","QA 198","PCP QA Test No. 198

pv:934332 __pmdaMainPDU leaks pmProfile objects



Copyright (c) 2005 Silicon Graphics, Inc.  All Rights Reserved.



"
"passed","Tue Mar 22 19:05:37 UTC 2022","Tue Mar 22 19:05:39 UTC 2022","2000","","fedora35-container","","","","QA 754","PCP QA Test No. 754

Exercise the Unbound PMDA.



Copyright (c) 2014-2015 Red Hat.



"
"passed","Tue Mar 22 19:01:26 UTC 2022","Tue Mar 22 19:01:37 UTC 2022","11000","","fedora35-container","","","","QA 695","PCP QA Test No. 695

Exercise the perl version of the trivial PMDA.



Copyright (c) 2018 Red Hat.



"
"passed","Tue Mar 22 19:29:17 UTC 2022","Tue Mar 22 19:29:18 UTC 2022","1000","","fedora35-container","","","","QA 1132","PCP QA Test No. 1132

Exercise pcp2xlsx.



Copyright (c) 2017-2018 Red Hat.



"
"passed","Tue Mar 22 18:12:00 UTC 2022","Tue Mar 22 18:12:00 UTC 2022","0","","fedora35-container","","","","QA 167","PCP QA Test No. 167

exercise pmcd.control.register



Copyright (c) 1995-2002 Silicon Graphics, Inc.  All Rights Reserved.



"
"passed","Tue Mar 22 18:54:25 UTC 2022","Tue Mar 22 18:54:26 UTC 2022","1000","","fedora35-container","","","","QA 633","PCP QA Test No. 633

excessive round trips to pmcd from pmlogger



Copyright (c) 1995-2002 Silicon Graphics, Inc.  All Rights Reserved.



"
"passed","Tue Mar 22 18:02:00 UTC 2022","Tue Mar 22 18:02:04 UTC 2022","4000","","fedora35-container","","","","QA 068","PCP QA Test No. 068

pmNewContext() bad error status if pmcd is not running



Note: this is the simplest test to get the pmcd start/stop filtering

	to be correct ... use this to tune _filter_pcp_start() and

	_filter_pcp_stop() in common.filter



Copyright (c) 1995-2002 Silicon Graphics, Inc.  All Rights Reserved.



"
"passed","Tue Mar 22 19:38:23 UTC 2022","Tue Mar 22 19:38:24 UTC 2022","1000","","fedora35-container","","","","QA 1283","PCP QA Test No. 1283

getiname tests for dbpmda



Copyright (c) 2020 Ken McDonell.  All Rights Reserved.



"
"passed","Tue Mar 22 18:39:56 UTC 2022","Tue Mar 22 18:39:56 UTC 2022","0","","fedora35-container","","","","QA 452","PCP QA Test No. 452

exercise dependencies between Linux PMDA clusters

e.g. CLUSTER_CPUINFO needs cpu indom initialized by CLUSTER_STAT



Copyright (c) 2011 Red Hat, Inc.  All Rights Reserved.



"
"passed","Tue Mar 22 19:23:08 UTC 2022","Tue Mar 22 19:23:09 UTC 2022","1000","","fedora35-container","","","","QA 1062","PCP QA Test No. 1062

Exercise pmrep vmstat-style output.



Copyright (c) 2015-2016 Red Hat.  All Rights Reserved.



"
"skipped","Tue Mar 22 18:46:11 UTC 2022","Tue Mar 22 18:46:11 UTC 2022","0","","fedora35-container","","","","QA 545","PCP QA Test No. 545

check pmsocks handling for quoted arguments

See bug #665408



Copyright (c) 1995-2002 Silicon Graphics, Inc.  All Rights Reserved.



"
"passed","Tue Mar 22 18:12:00 UTC 2022","Tue Mar 22 18:12:15 UTC 2022","15000","","fedora35-container","","","","QA 168","PCP QA Test No. 168

pmlogmerge shall abort if descriptors non consistent across archives

pv 933456



Copyright (c) 2005 Silicon Graphics, Inc.  All Rights Reserved.



"
"passed","Tue Mar 22 20:01:13 UTC 2022","Tue Mar 22 20:01:13 UTC 2022","0","","fedora35-container","","","","QA 1814","PCP QA Test No. 1814

Test Linux fibre channel metrics



Copyright (c) 2021 Red Hat, All Rights Reserved.



"
"passed","Tue Mar 22 19:47:46 UTC 2022","Tue Mar 22 19:47:49 UTC 2022","3000","","fedora35-container","","","","QA 1422","PCP QA Test No. 1422

Exercise MMV indom handling bug.



Copyright (c) 2018 Red Hat.  All Rights Reserved.



"
"passed","Tue Mar 22 18:32:38 UTC 2022","Tue Mar 22 18:32:38 UTC 2022","0","","fedora35-container","","","","QA 364","PCP QA Test No. 364

pmlogconf metric accessibility



Copyright (c) 2010 Ken McDonell.  All Rights Reserved.



"
"passed","Tue Mar 22 18:46:16 UTC 2022","Tue Mar 22 18:46:17 UTC 2022","1000","","fedora35-container","","","","QA 550","PCP QA Test No. 550

Exercise fixes for remotely triggered memory leaks in pmcd



Copyright (c) 2013 Red Hat.  All Rights Reserved.



"
"passed","Tue Mar 22 18:07:25 UTC 2022","Tue Mar 22 18:07:46 UTC 2022","21000","","fedora35-container","","","","QA 118","PCP QA Test No. 118

check totals for disk metrics



Copyright (c) 1995-2002 Silicon Graphics, Inc.  All Rights Reserved.



"
"passed","Tue Mar 22 18:46:31 UTC 2022","Tue Mar 22 18:46:31 UTC 2022","0","","fedora35-container","","","","QA 556","PCP QA Test No. 556

pmie actions in archive mode



Copyright (c) 1995-2002 Silicon Graphics, Inc.  All Rights Reserved.



"
"passed","Tue Mar 22 19:40:42 UTC 2022","Tue Mar 22 19:40:52 UTC 2022","10000","","fedora35-container","","","","QA 1310","PCP QA Test No. 1310

Check segfault in python API labels functions



Copyright (c) 2019 Red Hat.  All Rights Reserved.



"
"passed","Tue Mar 22 19:09:05 UTC 2022","Tue Mar 22 19:09:05 UTC 2022","0","","fedora35-container","","","","QA 803","PCP QA Test No. 803

Exercise pmRegisterDerivedMetric API error handling.



Copyright (c) 2016 Red Hat.



"
"passed","Tue Mar 22 18:00:23 UTC 2022","Tue Mar 22 18:00:23 UTC 2022","0","","fedora35-container","","","","QA 052","PCP QA Test No. 052

pmLoadNameSpace extensions



Copyright (c) 1995-2002 Silicon Graphics, Inc.  All Rights Reserved.



"
"passed","Tue Mar 22 18:36:23 UTC 2022","Tue Mar 22 18:36:26 UTC 2022","3000","","fedora35-container","","","","QA 416","PCP QA Test No. 416

news pmda ... exercise perl PMDA bits-n-bobs



Copyright (c) 2010 Ken McDonell.  All Rights Reserved.



"
